datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,AE,AECO,853.575,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,AEP,AEPAPT,4557.481,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,AEP,AEPIMP,3209.551,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,AEP,AEPKPT,730.284,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,AEP,AEPOPT,6514.994,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,AP,AP,5393.658,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,BC,BC,3023.145,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,CE,CE,10278.939,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,DAY,DAY,2008.000,False
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,DEOK,DEOK,3067.820,False
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,SERC,SOUTH,DOM,DOM,9769.620,False
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,DPL,DPLCO,1653.011,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,DUQ,DUQ,1404.987,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,DPL,EASTON,21.506,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,SERC,WEST,EKPC,EKPC,1833.262,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,JC,JC,2070.100,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,MIDATL,ME,ME,1655.101,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,ATSI,OE,6749.553,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,OVEC,OVEC,53.000,True
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,RFC,WEST,ATSI,PAPWR,562.496,True
