datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,generated_at_ept,area,area_load_forecast,actual_load,dispatch_rate
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,Duq,1577.00,1640.81,21.08
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1623.00,1660.14,21.83
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,31708.00,32135.33,18.18
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,18.31
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,19.28
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,21.32
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,AEP,14216.00,14695.17,20.41
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,AP,6160.00,6327.87,20.15
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,ATSI,7663.00,7633.32,20.57
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,ComEd,10484.00,10977.09,19.67
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,DEOK,2922.00,2952.62,20.79
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1871.00,1864.12,0.00
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,Dom,11097.00,10958.64,21.01
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,Duq,1510.00,1564.29,20.33
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1548.00,1615.02,20.80
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,30520.00,30476.88,17.93
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,18.18
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,19.00
